Time,   1.0000
    70,  EL1,      MATEL,   TAX2,   1,     0.8489,    0.0000, -1.738495e-04, -3.591692e-04, -1.738495e+01, -3.591692e+01,
    71,  EL1,      MATEL,   TAX2,   0,     0.8511,    0.0000, -1.749351e-04, -3.587104e-04, -1.749351e+01, -3.587104e+01,
    71,  EL1,      MATEL,   TAX2,   1,     0.8539,    0.0000, -1.749351e-04, -3.580891e-04, -1.749351e+01, -3.580891e+01,
    72,  EL1,      MATEL,   TAX2,   0,     0.8561,    0.0000, -1.760017e-04, -3.576383e-04, -1.760017e+01, -3.576383e+01,
    72,  EL1,      MATEL,   TAX2,   1,     0.8589,    0.0000, -1.760017e-04, -3.570279e-04, -1.760017e+01, -3.570279e+01,
    73,  EL1,      MATEL,   TAX2,   0,     0.8611,    0.0000, -1.770499e-04, -3.565849e-04, -1.770499e+01, -3.565849e+01,
    73,  EL1,      MATEL,   TAX2,   1,     0.8639,    0.0000, -1.770499e-04, -3.559850e-04, -1.770499e+01, -3.559850e+01,
    74,  EL1,      MATEL,   TAX2,   0,     0.8661,    0.0000, -1.780799e-04, -3.555496e-04, -1.780799e+01, -3.555496e+01,
    74,  EL1,      MATEL,   TAX2,   1,     0.8689,    0.0000, -1.780799e-04, -3.549600e-04, -1.780799e+01, -3.549600e+01,
    75,  EL1,      MATEL,   TAX2,   0,     0.8711,    0.0000, -1.790924e-04, -3.545321e-04, -1.790924e+01, -3.545321e+01,
    75,  EL1,      MATEL,   TAX2,   1,     0.8739,    0.0000, -1.790924e-04, -3.539526e-04, -1.790924e+01, -3.539526e+01,
    76,  EL1,      MATEL,   TAX2,   0,     0.8761,    0.0000, -1.800875e-04, -3.535320e-04, -1.800875e+01, -3.535320e+01,
    76,  EL1,      MATEL,   TAX2,   1,     0.8789,    0.0000, -1.800875e-04, -3.529624e-04, -1.800875e+01, -3.529624e+01,
    77,  EL1,      MATEL,   TAX2,   0,     0.8811,    0.0000, -1.810658e-04, -3.525489e-04, -1.810658e+01, -3.525489e+01,
    77,  EL1,      MATEL,   TAX2,   1,     0.8839,    0.0000, -1.810658e-04, -3.519889e-04, -1.810658e+01, -3.519889e+01,
    78,  EL1,      MATEL,   TAX2,   0,     0.8861,    0.0000, -1.820276e-04, -3.515824e-04, -1.820276e+01, -3.515824e+01,
    78,  EL1,      MATEL,   TAX2,   1,     0.8889,    0.0000, -1.820276e-04, -3.510318e-04, -1.820276e+01, -3.510318e+01,
    79,  EL1,      MATEL,   TAX2,   0,     0.8911,    0.0000, -1.829733e-04, -3.506321e-04, -1.829733e+01, -3.506321e+01,
    79,  EL1,      MATEL,   TAX2,   1,     0.8939,    0.0000, -1.829733e-04, -3.500907e-04, -1.829733e+01, -3.500907e+01,
    80,  EL1,      MATEL,   TAX2,   0,     0.8961,    0.0000, -1.839032e-04, -3.496976e-04, -1.839032e+01, -3.496976e+01,
    80,  EL1,      MATEL,   TAX2,   1,     0.8989,    0.0000, -1.839032e-04, -3.491652e-04, -1.839032e+01, -3.491652e+01,
    81,  EL1,      MATEL,   TAX2,   0,     0.9011,    0.0000, -1.848178e-04, -3.487787e-04, -1.848178e+01, -3.487787e+01,
    81,  EL1,      MATEL,   TAX2,   1,     0.9039,    0.0000, -1.848178e-04, -3.482551e-04, -1.848178e+01, -3.482551e+01,
    82,  EL1,      MATEL,   TAX2,   0,     0.9061,    0.0000, -1.857172e-04, -3.478749e-04, -1.857172e+01, -3.478749e+01,
    82,  EL1,      MATEL,   TAX2,   1,     0.9089,    0.0000, -1.857172e-04, -3.473599e-04, -1.857172e+01, -3.473599e+01,
    83,  EL1,      MATEL,   TAX2,   0,     0.9111,    0.0000, -1.866019e-04, -3.469860e-04, -1.866019e+01, -3.469860e+01,
    83,  EL1,      MATEL,   TAX2,   1,     0.9139,    0.0000, -1.866019e-04, -3.464794e-04, -1.866019e+01, -3.464794e+01,
    84,  EL1,      MATEL,   TAX2,   0,     0.9161,    0.0000, -1.874722e-04, -3.461116e-04, -1.874722e+01, -3.461116e+01,
    84,  EL1,      MATEL,   TAX2,   1,     0.9189,    0.0000, -1.874722e-04, -3.456133e-04, -1.874722e+01, -3.456133e+01,
    85,  EL1,      MATEL,   TAX2,   0,     0.9211,    0.0000, -1.883283e-04, -3.452514e-04, -1.883283e+01, -3.452514e+01,
    85,  EL1,      MATEL,   TAX2,   1,     0.9239,    0.0000, -1.883283e-04, -3.447611e-04, -1.883283e+01, -3.447611e+01,
    86,  EL1,      MATEL,   TAX2,   0,     0.9261,    0.0000, -1.891707e-04, -3.444051e-04, -1.891707e+01, -3.444051e+01,
    86,  EL1,      MATEL,   TAX2,   1,     0.9289,    0.0000, -1.891707e-04, -3.439227e-04, -1.891707e+01, -3.439227e+01,
    87,  EL1,      MATEL,   TAX2,   0,     0.9311,    0.0000, -1.899995e-04, -3.435724e-04, -1.899995e+01, -3.435724e+01,
    87,  EL1,      MATEL,   TAX2,   1,     0.9339,    0.0000, -1.899995e-04, -3.430977e-04, -1.899995e+01, -3.430977e+01,
    88,  EL1,      MATEL,   TAX2,   0,     0.9361,    0.0000, -1.908151e-04, -3.427530e-04, -1.908151e+01, -3.427530e+01,
    88,  EL1,      MATEL,   TAX2,   1,     0.9389,    0.0000, -1.908151e-04, -3.422859e-04, -1.908151e+01, -3.422859e+01,
    89,  EL1,      MATEL,   TAX2,   0,     0.9411,    0.0000, -1.916178e-04, -3.419466e-04, -1.916178e+01, -3.419466e+01,
    89,  EL1,      MATEL,   TAX2,   1,     0.9439,    0.0000, -1.916178e-04, -3.414869e-04, -1.916178e+01, -3.414869e+01,
    90,  EL1,      MATEL,   TAX2,   0,     0.9461,    0.0000, -1.924078e-04, -3.411530e-04, -1.924078e+01, -3.411530e+01,
    90,  EL1,      MATEL,   TAX2,   1,     0.9489,    0.0000, -1.924078e-04, -3.407005e-04, -1.924078e+01, -3.407005e+01,
    91,  EL1,      MATEL,   TAX2,   0,     0.9511,    0.0000, -1.931853e-04, -3.403719e-04, -1.931853e+01, -3.403719e+01,
    91,  EL1,      MATEL,   TAX2,   1,     0.9539,    0.0000, -1.931853e-04, -3.399265e-04, -1.931853e+01, -3.399265e+01,
    92,  EL1,      MATEL,   TAX2,   0,     0.9561,    0.0000, -1.939508e-04, -3.396030e-04, -1.939508e+01, -3.396030e+01,
    92,  EL1,      MATEL,   TAX2,   1,     0.9589,    0.0000, -1.939508e-04, -3.391645e-04, -1.939508e+01, -3.391645e+01,
    93,  EL1,      MATEL,   TAX2,   0,     0.9611,    0.0000, -1.947043e-04, -3.388460e-04, -1.947043e+01, -3.388460e+01,
    93,  EL1,      MATEL,   TAX2,   1,     0.9639,    0.0000, -1.947043e-04, -3.384144e-04, -1.947043e+01, -3.384144e+01,
    94,  EL1,      MATEL,   TAX2,   0,     0.9661,    0.0000, -1.954462e-04, -3.381008e-04, -1.954462e+01, -3.381008e+01,
    94,  EL1,      MATEL,   TAX2,   1,     0.9689,    0.0000, -1.954462e-04, -3.376758e-04, -1.954462e+01, -3.376758e+01,
    95,  EL1,      MATEL,   TAX2,   0,     0.9711,    0.0000, -1.961767e-04, -3.373671e-04, -1.961767e+01, -3.373671e+01,
    95,  EL1,      MATEL,   TAX2,   1,     0.9739,    0.0000, -1.961767e-04, -3.369486e-04, -1.961767e+01, -3.369486e+01,
    96,  EL1,      MATEL,   TAX2,   0,     0.9761,    0.0000, -1.968959e-04, -3.366446e-04, -1.968959e+01, -3.366446e+01,
    96,  EL1,      MATEL,   TAX2,   1,     0.9789,    0.0000, -1.968959e-04, -3.362325e-04, -1.968959e+01, -3.362325e+01,
    97,  EL1,      MATEL,   TAX2,   0,     0.9811,    0.0000, -1.976043e-04, -3.359331e-04, -1.976043e+01, -3.359331e+01,
