ConFemMat: ../DataExamples/E04/E4-01
Found specified element set: prop1
Found specified material: mat1 of type: RCBEAM
137, 1, eps 0.003260, kap 0.027400, N  -0.000006, M 0.219288, zt 0.118983, zc 0.200000
138, 1, eps 0.003290, kap 0.027600, N  -0.000006, M 0.219342, zt 0.119200, zc 0.200000
139, 1, eps 0.003320, kap 0.027800, N  -0.000005, M 0.219396, zt 0.119415, zc 0.200000
140, 1, eps 0.003350, kap 0.028000, N  -0.000004, M 0.219448, zt 0.119626, zc 0.200000
141, 1, eps 0.003379, kap 0.028200, N  -0.000003, M 0.219501, zt 0.119835, zc 0.200000
142, 1, eps 0.003409, kap 0.028400, N  -0.000002, M 0.219553, zt 0.120040, zc 0.200000
143, 1, eps 0.003439, kap 0.028600, N  -0.000001, M 0.219604, zt 0.120243, zc 0.200000
144, 1, eps 0.003469, kap 0.028800, N  -0.000000, M 0.219655, zt 0.120443, zc 0.200000
145, 1, eps 0.003499, kap 0.029000, N   0.000000, M 0.219705, zt 0.120640, zc 0.200000
146, 1, eps 0.003528, kap 0.029200, N   0.000001, M 0.219755, zt 0.120834, zc 0.200000
147, 1, eps 0.003558, kap 0.029400, N   0.000002, M 0.219804, zt 0.121026, zc 0.200000
148, 1, eps 0.003588, kap 0.029600, N   0.000003, M 0.219853, zt 0.121215, zc 0.200000
149, 1, eps 0.003618, kap 0.029800, N   0.000004, M 0.219901, zt 0.121401, zc 0.200000
150, 1, eps 0.003648, kap 0.030000, N   0.000004, M 0.219949, zt 0.121585, zc 0.200000
151, 1, eps 0.003677, kap 0.030200, N   0.000005, M 0.219996, zt 0.121767, zc 0.200000
152, 1, eps 0.003707, kap 0.030400, N   0.000006, M 0.220043, zt 0.121946, zc 0.200000
153, 1, eps 0.003737, kap 0.030600, N   0.000007, M 0.220089, zt 0.122122, zc 0.200000
154, 1, eps 0.003767, kap 0.030800, N   0.000008, M 0.220135, zt 0.122296, zc 0.200000
155, 1, eps 0.003796, kap 0.031000, N   0.000008, M 0.220180, zt 0.122468, zc 0.200000
156, 1, eps 0.003826, kap 0.031200, N   0.000009, M 0.220225, zt 0.122637, zc 0.200000
157, 1, eps 0.003856, kap 0.031400, N   0.000010, M 0.220269, zt 0.122804, zc 0.200000
158, 2, eps 0.003886, kap 0.031600, N   0.000000, M 0.220315, zt 0.122968, zc 0.200000
159, 2, eps 0.003916, kap 0.031800, N   0.000000, M 0.220358, zt 0.123131, zc 0.200000
