    28,    9.423,   19.606,    5.277,  -2.2418e+01, EL3
   128,   10.577,    0.394,    5.277,  -2.2399e+01, EL3
   403,    2.855,    1.078,    1.813,  -2.2376e+01, EL1
   205,    2.623,    0.873,    1.634,  -2.2357e+01, EL1
   405,    1.602,    1.385,    1.383,  -2.2351e+01, EL1
   205,    2.887,    0.871,    1.754,  -2.2350e+01, EL1
   471,   18.397,   18.671,    1.360,  -2.2340e+01, EL1
   115,    4.784,    0.103,    2.419,  -2.2301e+01, EL3
    21,   12.558,   19.608,    3.771,  -2.2191e+01, EL3
   471,   18.107,   18.662,    1.490,  -2.2185e+01, EL1
    21,   12.817,   19.609,    3.647,  -2.2160e+01, EL3
   470,   17.904,   18.657,    1.579,  -2.2136e+01, EL1
   116,    5.229,    0.103,    2.640,  -2.2115e+01, EL3
   404,    2.083,    1.367,    1.583,  -2.2049e+01, EL1
   116,    4.972,    0.103,    2.512,  -2.1951e+01, EL3
   470,   17.641,   18.653,    1.695,  -2.1918e+01, EL1
   405,    1.882,    1.374,    1.499,  -2.1854e+01, EL1
   404,    2.351,    1.362,    1.697,  -2.1787e+01, EL1
   121,    7.442,    0.392,    3.771,  -2.1701e+01, EL3
   121,    7.183,    0.391,    3.647,  -2.1671e+01, EL3
    16,   15.028,   19.897,    2.512,  -2.1516e+01, EL3
   406,    1.092,    1.429,    1.183,  -2.1400e+01, EL1
   579,   18.449,   18.448,    1.431,  -2.1265e+01, EL1
   117,    5.675,    0.104,    2.860,  -2.1261e+01, EL3
   117,    5.418,    0.103,    2.733,  -2.1255e+01, EL3
    16,   14.771,   19.896,    2.640,  -2.1221e+01, EL3
   168,   14.582,    0.104,    7.267,  -2.1221e+01, EL3
   403,    2.546,    1.360,    1.780,  -2.1205e+01, EL1
   469,   17.449,   18.649,    1.779,  -2.1191e+01, EL1
   421,   18.998,   18.543,    1.157,  -2.1170e+01, EL1
   603,    2.053,    1.571,    1.651,  -2.1142e+01, EL1
   469,   17.187,   18.646,    1.893,  -2.1120e+01, EL1
    26,   10.574,   19.894,    4.716,  -2.1107e+01, EL3
   403,    2.810,    1.359,    1.894,  -2.1097e+01, EL1
    37,    5.418,   19.896,    7.267,  -2.1069e+01, EL3
    26,   10.317,   19.894,    4.843,  -2.1056e+01, EL3
   578,   17.940,   18.451,    1.645,  -2.1030e+01, EL1
    22,   12.110,   19.607,    3.986,  -2.0959e+01, EL3
   126,    9.426,    0.106,    4.716,  -2.0949e+01, EL3
    22,   12.369,   19.608,    3.862,  -2.0926e+01, EL3
    41,    3.636,   19.898,    8.149,  -2.0908e+01, EL3
   604,    1.577,    1.594,    1.460,  -2.0892e+01, EL1
   126,    9.683,    0.106,    4.843,  -2.0880e+01, EL3
   168,   14.325,    0.104,    7.140,  -2.0872e+01, EL3
    41,    3.893,   19.898,    8.022,  -2.0864e+01, EL3
   603,    2.319,    1.566,    1.761,  -2.0815e+01, EL1
    91,   19.680,   19.248,    0.524,  -2.0806e+01, EL3
   578,   17.677,   18.448,    1.758,  -2.0796e+01, EL1
   162,   16.364,    0.103,    8.149,  -2.0781e+01, EL3
   602,    2.513,    1.564,    1.842,  -2.0777e+01, EL1
   402,    3.048,    1.077,    1.899,  -2.0752e+01, EL1
   162,   16.107,    0.103,    8.022,  -2.0737e+01, EL3
    37,    5.675,   19.896,    7.140,  -2.0728e+01, EL3
   577,   17.484,   18.445,    1.840,  -2.0716e+01, EL1
   118,    6.120,    0.104,    3.080,  -2.0713e+01, EL3
   402,    3.311,    1.078,    2.016,  -2.0701e+01, EL1
   468,   16.950,   18.925,    1.899,  -2.0682e+01, EL1
   118,    5.863,    0.104,    2.953,  -2.0678e+01, EL3
    17,   14.325,   19.896,    2.860,  -2.0649e+01, EL3
   468,   16.689,   18.923,    2.017,  -2.0638e+01, EL1
   579,   18.147,   18.451,    1.558,  -2.0634e+01, EL1
   602,    2.776,    1.565,    1.954,  -2.0604e+01, EL1
   577,   17.223,   18.440,    1.952,  -2.0558e+01, EL1
    18,   13.880,   19.896,    3.080,  -2.0516e+01, EL3
    18,   14.137,   19.896,    2.953,  -2.0508e+01, EL3
    17,   14.582,   19.896,    2.733,  -2.0499e+01, EL3
   122,    7.890,    0.392,    3.986,  -2.0430e+01, EL3
   122,    7.631,    0.392,    3.862,  -2.0396e+01, EL3
   182,   19.251,   18.918,    0.875,  -2.0385e+01, EL1
   208,    3.341,    0.871,    1.961,  -2.0279e+01, EL1
   208,    3.079,    0.871,    1.841,  -2.0268e+01, EL1
    19,   13.434,   19.896,    3.301,  -2.0255e+01, EL3
   268,   16.658,   19.130,    1.961,  -2.0252e+01, EL1
   268,   16.918,   19.131,    1.842,  -2.0234e+01, EL1
   402,    3.004,    1.359,    1.978,  -2.0221e+01, EL1
    19,   13.692,   19.896,    3.174,  -2.0219e+01, EL3
   604,    1.854,    1.579,    1.571,  -2.0190e+01, EL1
   402,    3.268,    1.361,    2.092,  -2.0170e+01, EL1
   468,   16.995,   18.643,    1.978,  -2.0153e+01, EL1
   119,    6.566,    0.104,    3.301,  -2.0129e+01, EL3
   601,    2.970,    1.566,    2.035,  -2.0123e+01, EL1
   468,   16.732,   18.639,    2.092,  -2.0111e+01, EL1
   119,    6.309,    0.104,    3.174,  -2.0102e+01, EL3
    42,    3.190,   19.898,    8.370,  -2.0100e+01, EL3
    42,    3.448,   19.898,    8.243,  -2.0037e+01, EL3
   601,    3.234,    1.569,    2.148,  -2.0020e+01, EL1
   576,   17.031,   18.436,    2.035,  -1.9999e+01, EL1
   164,   15.246,    0.385,    7.522,  -1.9981e+01, EL3
   161,   16.809,    0.103,    8.370,  -1.9929e+01, EL3
   576,   16.767,   18.430,    2.148,  -1.9906e+01, EL1
   161,   16.552,    0.103,    8.242,  -1.9865e+01, EL3
   208,    3.381,    0.589,    1.886,  -1.9784e+01, EL1
    23,   11.662,   19.607,    4.202,  -1.9781e+01, EL3
   208,    3.121,    0.589,    1.763,  -1.9772e+01, EL1
    20,   12.989,   19.895,    3.521,  -1.9771e+01, EL3
   268,   16.617,   19.411,    1.886,  -1.9745e+01, EL1
    20,   13.246,   19.895,    3.394,  -1.9745e+01, EL3
    23,   11.921,   19.607,    4.077,  -1.9744e+01, EL3
    39,    4.753,   19.616,    7.522,  -1.9740e+01, EL3
    40,    4.081,   19.898,    7.929,  -1.9739e+01, EL3
   268,   16.877,   19.413,    1.764,  -1.9726e+01, EL1
   163,   15.919,    0.103,    7.929,  -1.9612e+01, EL3
    40,    4.338,   19.897,    7.802,  -1.9589e+01, EL3
   164,   15.505,    0.385,    7.646,  -1.9546e+01, EL3
   120,    7.011,    0.105,    3.521,  -1.9464e+01, EL3
   163,   15.662,    0.103,    7.801,  -1.9455e+01, EL3
   406,    1.390,    1.400,    1.298,  -1.9449e+01, EL1
   120,    6.754,    0.104,    3.394,  -1.9434e+01, EL3
   600,    3.429,    1.570,    2.231,  -1.9360e+01, EL1
    39,    4.494,   19.616,    7.647,  -1.9337e+01, EL3
   600,    3.696,    1.572,    2.344,  -1.9277e+01, EL1
   421,   18.707,   18.627,    1.244,  -1.9242e+01, EL1
   123,    8.338,    0.393,    4.202,  -1.9236e+01, EL3
   575,   16.573,   18.427,    2.231,  -1.9227e+01, EL1
   123,    8.079,    0.393,    4.077,  -1.9198e+01, EL3
   401,    3.504,    1.078,    2.102,  -1.9193e+01, EL1
   401,    3.462,    1.362,    2.176,  -1.9190e+01, EL1
   401,    3.767,    1.079,    2.220,  -1.9169e+01, EL1
   401,    3.727,    1.363,    2.291,  -1.9165e+01, EL1
   575,   16.306,   18.424,    2.344,  -1.9148e+01, EL1
    21,   12.543,   19.895,    3.742,  -1.9141e+01, EL3
   467,   16.497,   18.921,    2.103,  -1.9114e+01, EL1
    21,   12.801,   19.895,    3.614,  -1.9108e+01, EL3
   467,   16.539,   18.636,    2.176,  -1.9092e+01, EL1
   467,   16.234,   18.919,    2.220,  -1.9086e+01, EL1
   467,   16.274,   18.634,    2.291,  -1.9064e+01, EL1
   602,    2.467,    1.839,    1.927,  -1.8949e+01, EL1
   601,    2.920,    1.847,    2.114,  -1.8876e+01, EL1
   577,   17.534,   18.167,    1.924,  -1.8839e+01, EL1
   189,    0.567,    1.264,    0.880,  -1.8813e+01, EL1
   602,    2.727,    1.843,    2.034,  -1.8792e+01, EL1
   601,    3.186,    1.853,    2.224,  -1.8784e+01, EL1
   576,   17.083,   18.153,    2.113,  -1.8726e+01, EL1
   577,   17.275,   18.159,    2.033,  -1.8697e+01, EL1
   121,    7.456,    0.105,    3.742,  -1.8682e+01, EL3
   121,    7.199,    0.105,    3.614,  -1.8648e+01, EL3
   576,   16.818,   18.145,    2.224,  -1.8644e+01, EL1
    24,   11.214,   19.607,    4.417,  -1.8614e+01, EL3
   603,    2.015,    1.846,    1.745,  -1.8603e+01, EL1
   600,    3.382,    1.856,    2.305,  -1.8576e+01, EL1
    24,   11.473,   19.607,    4.292,  -1.8562e+01, EL3
   599,    3.892,    1.573,    2.427,  -1.8540e+01, EL1
   578,   17.989,   18.169,    1.737,  -1.8514e+01, EL1
   209,    3.795,    0.872,    2.168,  -1.8503e+01, EL1
   600,    3.652,    1.860,    2.417,  -1.8497e+01, EL1
   209,    3.533,    0.871,    2.049,  -1.8480e+01, EL1
   599,    4.160,    1.574,    2.540,  -1.8465e+01, EL1
   269,   16.205,   19.127,    2.168,  -1.8463e+01, EL1
   269,   16.467,   19.129,    2.049,  -1.8449e+01, EL1
   575,   16.622,   18.141,    2.305,  -1.8416e+01, EL1
   574,   16.110,   18.423,    2.427,  -1.8394e+01, EL1
    22,   12.098,   19.895,    3.962,  -1.8389e+01, EL3
    22,   12.355,   19.895,    3.835,  -1.8355e+01, EL3
   740,    2.879,    2.052,    2.171,  -1.8348e+01, EL1
   575,   16.352,   18.136,    2.416,  -1.8342e+01, EL1
   574,   15.843,   18.423,    2.540,  -1.8317e+01, EL1
   603,    2.276,    1.840,    1.849,  -1.8262e+01, EL1
   578,   17.725,   18.169,    1.845,  -1.8253e+01, EL1
   740,    3.146,    2.063,    2.280,  -1.8249e+01, EL1
   739,    3.344,    2.068,    2.361,  -1.8240e+01, EL1
   400,    3.921,    1.364,    2.375,  -1.8190e+01, EL1
   716,   17.125,   17.948,    2.169,  -1.8185e+01, EL1
   741,    2.431,    2.037,    1.987,  -1.8167e+01, EL1
   400,    4.187,    1.364,    2.490,  -1.8158e+01, EL1
   739,    3.618,    2.072,    2.470,  -1.8106e+01, EL1
   716,   16.859,   17.935,    2.279,  -1.8088e+01, EL1
   466,   16.080,   18.633,    2.376,  -1.8081e+01, EL1
